"LLAVE_BUSQUEDA"¬"TWEET"¬"USUARIO"¬"FECHA"¬"LUGAR"¬"COORDENADAS"¬"GEO"
"URIBE"¬"@tomasuribeEco Su abuelo Alberto Uribe era parte de ese narco estado, si se acuerda?"¬"tierrajuventud"¬12/06/19 02:46:08,896402000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Estoy de acuerdo. Si uribe (con casi trescientas investigaciones) esta en el congreso, porque no puede estar Santri¬ https://t.co/e7Va8Y1jy8"¬"luchorojas2"¬12/06/19 02:46:38,963631000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@nadimcomics Mejor Uribe"¬"RipollK_"¬12/06/19 02:27:24,994097000 PM¬"None"¬"None"¬"None"
"URIBE"¬"AL PARECER EL CONGRESO LO MANEJA LA MAFIA QUE HORROR"¬"lrubianofajardo"¬12/06/19 03:26:22,122573000 PM¬""¬""¬""
"URIBE"¬"Esa gesti n que hizo el GRAN FORAJIDO Juhampa fue fundamental porque le"¬"juancam27273185"¬12/06/19 03:29:43,187484000 PM¬""¬""¬""
"URIBE"¬"@adrescala No te dejes robar la paz tu sabes que repiten y repiten lo que los pol¬ticos, periodistas y personas que¬ https://t.co/SobTKvQutw"¬"JairoEPinzonB"¬12/06/19 02:10:11,181212000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Excelente mi partido Centro Democr¬tico"¬"joseedilmono"¬12/06/19 02:10:11,959004000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@TonYarib @hlamprea1 @AlvaroUribeVel https://t.co/ngLOHL3noM el terrorista Petro  es el mejor amigo de uribe, se quedo sin argumentos?"¬"Dianasc47344743"¬12/06/19 02:10:22,688111000 PM¬"None"¬"None"¬"None"
"URIBE"¬"https://t.co/xSPxV5ptBg"¬"CLONYHD"¬12/06/19 02:10:23,714888000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Veci..."¬"BrunoDiazGU"¬12/06/19 02:10:24,700483000 PM¬"None"¬"None"¬"None"
"URIBE"¬"COLOMBIA TODAY/HOY.GOBIERNO URIBE V¬LEZ/DUQUE, ALIADOS PEDRO S¬NCHEZ PSOE EN EL BLOQUEO A #VENEZUELA ."¬"Pobrecillo21"¬12/06/19 02:10:25,856905000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Ah¬ tienen el pa¬s que quer¬an, ustedes, los que votaron por @IvanDuque, los que idolatran a Uribe, al CD... ah¬ ti¬ https://t.co/3nQyCKO8gd"¬"BreePalacino"¬12/06/19 02:46:42,248436000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@IvanDuque @MinjusticiaCo Deje de tanta maneteria fecal, en su gobierno de Uribe no existe genuina justicia o el na¬ https://t.co/3xgdmtKkaa"¬"JulioGmez4"¬12/06/19 02:46:42,444169000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Colombia Ni quiero guerrilla ni quiero paracos pero apoyo esa inici"¬"HernanPino14"¬12/06/19 03:27:55,461158000 PM¬""¬""¬""
"URIBE"¬"@petrogustavo Petro ya superelo,ya va de salida Pe¬alosa y ud todav¬a sufriendo? Esta igual que su amigo¬ https://t.co/sHl2rq2MFH"¬"andresdajul"¬12/06/19 01:53:11,611697000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Totalmente de acuerdo! Porqe le echan la culpa a la izquierda? O de pensamientos as¬? Cuando siempre hemos sido gob¬ https://t.co/vtpMCfKuDR"¬"sanvilla91"¬12/06/19 01:53:31,520306000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@patoqui62 @NataDLEspriella @pasalaal10 @AlvaroUribeVel @PaolaHolguin @MargaritaRepo @Popeye_leyenda @CorteSupremaJ¬ https://t.co/XqHcLpdVTa"¬"Alejoock"¬12/06/19 01:58:12,795273000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@DanielSamperO Uribe se encuentra a Santrich en un pasillo..."¬"JamesGrauP"¬12/06/19 02:10:17,745544000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@YERADA69 @IvanDuque Santrich es un revolucionario que el sistema oblig¬ a tomar las armas. Uribe, un mafioso sin m¬ https://t.co/FGOv97jGQE"¬"RamiroDelCrist1"¬12/06/19 02:10:19,705070000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Armenia #ElDueloDelSigloDiario G¬mez Vs Jessi Uribe Cantando En Vivo Coliseo Del Caf¬ General :39.000 (AGOTAN¬ https://t.co/WLUYGc2CPz"¬"AngelLopez_323"¬12/06/19 02:46:53,465620000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@Alfonsorumualdo @1998Reyes Reyes es un jugador que ansio ver y que demuestre la experiencia que adquirio en segund¬ https://t.co/CetQ1mS5An"¬"Jkike10911"¬12/06/19 02:46:54,253231000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Carlos Gal n se acerca a Claudia L pez Los candidatos de Petro ni sumados los tres llegan al 10 ngela Garz n ha"¬"EduardBernstei1"¬12/06/19 03:28:01,914313000 PM¬""¬""¬""
"URIBE"¬"Falto y estamos viendo la peor poca d Colombia"¬"LeoJarBar"¬12/06/19 03:28:02,899519000 PM¬""¬""¬""
"URIBE"¬"@juan_alies Le sali¬ un Uribe al cancer"¬"MatantanEl"¬12/06/19 01:58:23,389865000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Muy buen, pero sus pr¬cticas deshonestas cuando ser¬n publicadas? Se¬or motosierra."¬"Florez_Vl"¬12/06/19 02:01:53,914233000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@alfreparedes @DiegoVelezGar Herencia de @AlvaroUribeVel y #PabloEacobar"¬"Nonkapisco"¬12/06/19 02:10:22,030430000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Tienes el pantal¬n cagado??"¬"eomerfran"¬12/06/19 02:10:24,259583000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Ahora s¬ ser¬ una sorpresa la vuelta del mismisimo Fede Bravo."¬"ZequiYacante"¬12/06/19 02:10:41,086199000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@DtViajero @LuzStel60586131 @SenorCaicedo @jflafaurie @IvanDuque @AlvaroUribeVel Q verguenza de gobierno en cabeza¬ https://t.co/iUEhfxYoCM"¬"javierr11237413"¬12/06/19 02:10:49,772622000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@luis_aseg @DELAESPRIELLAE @lafm @jflafaurie @AndresPastrana_ @AlvaroUribeVel @OIZuluaga @charoguerra¬ https://t.co/jXDYQKKCQ2"¬"luciac24"¬12/06/19 02:44:45,756149000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Es cierto presidente Uribe la envidia  y el odio los tiene enfermos. Total respaldo Dr Uribe siga a¬ https://t.co/AmKA2HJXr6"¬"2000tata2014"¬12/06/19 02:46:54,469699000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Populismo barato enga abobos"¬"Democrata_1"¬12/06/19 03:25:27,734895000 PM¬""¬""¬""
"URIBE"¬"Adriana debe doler mucho no tener a un l der como el dr Uribe y ellos"¬"omantoni1"¬12/06/19 03:28:08,120928000 PM¬""¬""¬""
"URIBE"¬"@AlvaroUribeVel Usted si es c¬nico...."¬"MPSDISCAPACIDAD"¬12/06/19 02:46:57,985460000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@adrescala @juanrobot4 @NataDLEspriella @AlvaroUribeVel Esa gente tiene el c"¬"SaVanesCa"¬12/06/19 02:47:10,346423000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@Dianasc47344743 @reinolopez @AlvaroUribeVel @POTUS @FBI @DEAHQ @USEmbassyBogota @USMarshalsHQ @CIA @IRSnews Toca e¬ https://t.co/JHf3dnkNzZ"¬"jairoamejia1"¬12/06/19 02:47:12,929687000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@NoticiasCaracol https://t.co/3MfAesMjn0"¬"yumbila"¬12/06/19 02:47:13,717736000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@AlvaroUribeVel Osea que van a ""solucionar""  (a medias) los descalabros de la ley 100 que usted promovi¬?"¬"alexantropologo"¬12/06/19 02:44:51,868612000 PM¬"None"¬"None"¬"None"
"URIBE"¬"Asisten y todo sus secuasez de y ahora se escandalizan por otro delincuente m s"¬"mariodanielgc"¬12/06/19 03:25:36,308271000 PM¬""¬""¬""
"URIBE"¬"A Ud le faltan muchas G evas para ultrajar o acusar a Gran Colombiano a Ud no le toc"¬"de_bonnett"¬12/06/19 03:28:12,675566000 PM¬"Ciudad Bol¬var"¬"[[[-76.162036, 5.745914], [-76.162036, 5.9353], [-75.924448, 5.9353], [-75.924448, 5.745914]]]"¬"Polygon"
"URIBE"¬"Boca Juniors en serio Uribe busca Europa no sudamerica"¬"manu_axjared"¬12/06/19 03:28:24,846428000 PM¬""¬""¬""
"URIBE"¬"Y Uribe para cuando Recuerde que su padre lo denunci cuando fue Director de la Aerocivil por otorgarle"¬"LazmarMartinez"¬12/06/19 03:28:25,804803000 PM¬""¬""¬""
"URIBE"¬"JAJAJAJAJAJJAJA"¬"Vivi_Jar"¬12/06/19 03:28:26,641012000 PM¬""¬""¬""
"URIBE"¬"@CLAUDIABAHAMON @IvanDuque @mafsul @MinMinas Lo que diga uribe No tiene desicion ni manejo del gobierno ya un a¬o y el pais estancado"¬"Juank75720863"¬12/06/19 02:47:15,359694000 PM¬"None"¬"None"¬"None"
"URIBE"¬"FARC URIBE Y SUS SECUACES QUE RENUNCIEN Y SE ACAB EL PROBLEMA"¬"MarrugoRevu"¬12/06/19 03:26:40,449838000 PM¬""¬""¬""
"URIBE"¬"@AlvaroUribeVel Seria optimo tener una pagina oficial donde los due¬os de los recursos p¬blicos  o sea colombia con¬ https://t.co/ZQfwIl40h7"¬"kratosRosacruz"¬12/06/19 02:45:15,941200000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@Gerosod @WRadioColombia Gracias por tu experiencia familiar! Porque en lam¬a  consume y no se roba y no se que tan¬ https://t.co/9JlhVTVFBj"¬"DANYELMONTES2"¬12/06/19 02:45:18,021993000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@juliocegarciav @AlvaroUribeVel @RioCas Seg¬n esto entonces el licor es lo mejor para la salud por que tambien gene¬ https://t.co/FutiHxJ9PY"¬"luis13laura28"¬12/06/19 01:32:02,820910000 PM¬"None"¬"None"¬"None"
"URIBE"¬"@SanMar0714 @MONAURIBISTA @bettycriticona @argiro1961 @AndreaRamirezA_ @Dianatatism @CaRendi74 @WIMABOK¬ https://t.co/6HwASMmsdM"¬"patriciam265"¬12/06/19 03:19:22,750713000 PM¬""¬""¬""
"URIBE"¬"@bonsay65 @NataDLEspriella @AlvaroUribeVel Abrazo"¬"adrescala"¬12/06/19 03:19:23,336931000 PM¬""¬""¬""
"URIBE"¬"Disculpe Don Corleone"¬"erioji"¬12/06/19 03:19:23,968026000 PM¬""¬""¬""
"URIBE"¬"@Rep_Cristancho @CamaraColombia @CeDemocratico @BluRadioCo @AlvaroUribeVel @NoticiasCaracol JAJAJAJAJA ME DIVIERTE¬ https://t.co/yFUsoT8Hri"¬"yamiley01161967"¬12/06/19 03:19:24,587584000 PM¬""¬""¬""
